visualizacoes;like;deslikes;like comentarios;qtd caracteres;codigo;opiniao;emoji ;densidade semantica;dificuldade;tristeza;alegria;medo;aversao;raiva;pontuacao;resultado
38.509;1700;27;3.326;82.152;0.043;0.957;0.022;1;2;0.103;0.616;0.034;0.039;0.051;0.542;0.696
38.509;1700;27;3.326;82.152;0.043;0.957;0.022;2;2;0.103;0.616;0.034;0.039;0.051;0.542;0.696
847;76;2;0.0;48.6;0.0;1.0;0.0;5;4;0.0;0.455;0.0;0.0;0.0;0.455;0.8
847;76;2;0.0;48.6;0.0;1.0;0.0;5;4;0.0;0.455;0.0;0.0;0.0;0.455;0.8
4.485;439;2;0.917;87.5;0.25;0.75;0.167;3;1;0.077;0.489;0.0;0.0;0.0;0.441;0.5
4.485;439;2;0.917;87.5;0.25;0.75;0.167;3;2;0.077;0.489;0.0;0.0;0.0;0.441;0.5
45.257;2100;8;1.719;69.298;0.035;0.965;0.053;3;2;0.038;0.719;0.004;0.032;0.049;0.661;0.825
45.257;2100;8;1.719;69.298;0.035;0.965;0.053;3;3;0.038;0.719;0.004;0.032;0.049;0.661;0.825
45.617;2100;11;0.409;87.818;0.114;0.886;0.045;4;3;0.015;0.673;0.004;0.007;0.007;0.66;0.818
45.617;2100;11;0.409;87.818;0.114;0.886;0.045;3;3;0.015;0.673;0.004;0.007;0.007;0.66;0.818
306.537;18000;37;2.135;88.25;0.054;0.946;0.004;2;3;0.045;0.564;0.007;0.013;0.021;0.509;0.685
306.537;18000;37;2.135;88.25;0.054;0.946;0.004;3;2;0.045;0.564;0.007;0.013;0.021;0.509;0.685
56.931;2100;18;1.6;89.273;0.073;0.927;0.036;4;3;0.039;0.614;0.008;0.011;0.012;0.587;0.727
56.931;2100;18;1.6;89.273;0.073;0.927;0.036;2;2;0.039;0.614;0.008;0.011;0.012;0.587;0.727
9.548;151;4;1.167;158.083;0.25;0.75;0.0;2;4;0.131;0.279;0.109;0.109;0.077;0.146;0.083
9.548;151;4;1.167;158.083;0.25;0.75;0.0;2;4;0.131;0.279;0.109;0.109;0.077;0.146;0.083
4.579;46;4;0.0;98.0;0.0;1.0;0.0;3;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.579;46;4;0.0;98.0;0.0;1.0;0.0;3;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
256.651;6600;38;2.402;101.659;0.122;0.878;0.0;1;2;0.066;0.437;0.018;0.022;0.023;0.369;0.5
256.651;6600;38;2.402;101.659;0.122;0.878;0.0;1;2;0.066;0.437;0.018;0.022;0.023;0.369;0.5
197.817;6200;36;1.875;112.625;0.138;0.862;0.013;1;3;0.082;0.456;0.025;0.024;0.025;0.371;0.507
197.817;6200;36;1.875;112.625;0.138;0.862;0.013;3;3;0.082;0.456;0.025;0.024;0.025;0.371;0.507
21.953;440;8;0.6;61.52;0.06;0.94;0.0;2;3;0.09;0.657;0.022;0.024;0.013;0.579;0.7
21.953;440;8;0.6;61.52;0.06;0.94;0.0;3;3;0.09;0.657;0.022;0.024;0.013;0.579;0.7
25.611;1000;15;2.24;59.16;0.0;1.0;0.0;5;3;0.101;0.486;0.037;0.027;0.016;0.388;0.52
25.611;1000;15;2.24;59.16;0.0;1.0;0.0;4;3;0.101;0.486;0.037;0.027;0.016;0.388;0.52
16.453;522;7;17.0;36.0;0.0;1.0;0.0;2;3;0.0;1.0;0.0;0.0;0.0;1.0;1.0
16.453;522;7;17.0;36.0;0.0;1.0;0.0;4;4;0.0;1.0;0.0;0.0;0.0;1.0;1.0
247.209;8400;63;3.605;81.677;0.016;0.984;0.008;1;2;0.057;0.498;0.023;0.019;0.019;0.445;0.629
247.209;8400;63;3.605;81.677;0.016;0.984;0.008;2;1;0.057;0.498;0.023;0.019;0.019;0.445;0.629
60.306;1600;5;3.514;121.029;0.086;0.914;0.0;3;3;0.082;0.649;0.014;0.029;0.007;0.56;0.657
60.306;1600;5;3.514;121.029;0.086;0.914;0.0;3;3;0.082;0.649;0.014;0.029;0.007;0.56;0.657
215.739;8100;40;3.365;87.861;0.07;0.93;0.017;2;4;0.066;0.533;0.025;0.028;0.018;0.461;0.557
215.739;8100;40;3.365;87.861;0.07;0.93;0.017;3;3;0.066;0.533;0.025;0.028;0.018;0.461;0.557
45.617;2100;11;0.409;87.818;0.114;0.886;0.045;4;3;0.015;0.673;0.004;0.007;0.007;0.66;0.818
45.617;2100;11;0.409;87.818;0.114;0.886;0.045;3;3;0.015;0.673;0.004;0.007;0.007;0.66;0.818
53.384;5600;45;3.188;69.955;0.036;0.964;0.036;4;2;0.058;0.547;0.04;0.034;0.027;0.474;0.607
53.384;5600;45;3.188;69.955;0.036;0.964;0.036;3;4;0.058;0.547;0.04;0.034;0.027;0.474;0.607
7.375;135;7;0.8;84.6;0.0;1.0;0.0;2;3;0.029;0.672;0.0;0.0;0.029;0.647;1.0
7.375;135;7;0.8;84.6;0.0;1.0;0.0;2;2;0.029;0.672;0.0;0.0;0.029;0.647;1.0
126.530;6100;22;3.873;113.848;0.076;0.924;0.0;4;2;0.131;0.517;0.048;0.052;0.044;0.378;0.494
126.530;6100;22;3.873;113.848;0.076;0.924;0.0;3;2;0.131;0.517;0.048;0.052;0.044;0.378;0.494
145.200;7600;15;2.127;89.912;0.029;0.971;0.029;3;2;0.064;0.528;0.026;0.019;0.011;0.459;0.657
145.200;7600;15;2.127;89.912;0.029;0.971;0.029;4;3;0.064;0.528;0.026;0.019;0.011;0.459;0.657
60.307;1600;5;3.514;121.029;0.086;0.914;0.0;3;3;0.082;0.649;0.014;0.029;0.007;0.56;0.657
60.307;1600;5;3.514;121.029;0.086;0.914;0.0;3;3;0.082;0.649;0.014;0.029;0.007;0.56;0.657
16.217;1000;9;0.619;54.19;0.048;0.952;0.095;2;1;0.027;0.526;0.0;0.0;0.0;0.499;0.667
16.217;1000;9;0.619;54.19;0.048;0.952;0.095;3;2;0.027;0.526;0.0;0.0;0.0;0.499;0.667
32.836;178;16;0.545;61.545;0.091;0.909;0.0;2;4;0.0;0.305;0.0;0.0;0.0;0.305;0.636
32.836;178;16;0.545;61.545;0.091;0.909;0.0;3;3;0.0;0.305;0.0;0.0;0.0;0.305;0.636
173.193;8100;52;5.352;310.063;0.635;0.365;0.038;3;2;0.07;0.432;0.02;0.027;0.019;0.365;0.585
173.193;8100;52;5.352;310.063;0.635;0.365;0.038;3;2;0.07;0.432;0.02;0.027;0.019;0.365;0.585
29.279;802;21;3.0;55.5;0.0;1.0;0.071;3;2;0.247;0.414;0.144;0.196;0.138;0.171;0.214
29.279;802;21;3.0;55.5;0.0;1.0;0.071;3;2;0.247;0.414;0.144;0.196;0.138;0.171;0.214
14.414;158;8;2.0;18.0;0.0;1.0;0.0;4;3;0.787;0.0;0.0;0.0;0.0;-0.787;-1.0
14.414;158;8;2.0;18.0;0.0;1.0;0.0;3;3;0.787;0.0;0.0;0.0;0.0;-0.787;-1.0
31.180;1300;10;1.611;46.556;0.111;0.889;0.0;2;1;0.0;0.694;0.0;0.0;0.0;0.694;0.889
31.180;1300;10;1.611;46.556;0.111;0.889;0.0;2;2;0.0;0.694;0.0;0.0;0.0;0.694;0.889
7.661;257;5;1.571;332.714;0.286;0.714;0.0;4;3;0.087;0.738;0.045;0.0;0.021;0.7;0.857
7.661;257;5;1.571;332.714;0.286;0.714;0.0;3;3;0.087;0.738;0.045;0.0;0.021;0.7;0.857
