visualizacoes;like;deslikes;like comentarios;qtd caracteres;codigo;opiniao;emoji ;densidade semantica;dificuldade;tristeza;alegria;medo;aversao;raiva;pontuacao;resultado
38.510;1700;27;6.35;121.9;0.0;1.0;0.05;1;2;0.128;0.65;0.043;0.055;0.042;0.596;0.75
38.510;1700;27;6.35;121.9;0.0;1.0;0.05;2;2;0.128;0.65;0.043;0.055;0.042;0.596;0.75
38.510;1700;27;0.85;61.6;0.1;0.9;0.0;1;2;0.085;0.652;0.035;0.035;0.074;0.554;0.7
38.510;1700;27;0.85;61.6;0.1;0.9;0.0;2;2;0.085;0.652;0.035;0.035;0.074;0.554;0.7
38.510;1700;27;1.5;18.167;0.0;1.0;0.0;1;2;0.083;0.379;0.0;0.0;0.0;0.324;0.5
38.510;1700;27;1.5;18.167;0.0;1.0;0.0;2;2;0.083;0.379;0.0;0.0;0.0;0.324;0.5
847;76;2;0.0;48.6;0.0;1.0;0.0;5;4;0.0;0.455;0.0;0.0;0.0;0.455;0.8
847;76;2;0.0;48.6;0.0;1.0;0.0;5;4;0.0;0.455;0.0;0.0;0.0;0.455;0.8
4.486;439;2;0.917;87.5;0.25;0.75;0.167;3;1;0.077;0.489;0.0;0.0;0.0;0.441;0.5
4.486;439;2;0.917;87.5;0.25;0.75;0.167;3;2;0.077;0.489;0.0;0.0;0.0;0.441;0.5
45.258;2100;8;4.05;81.8;0.0;1.0;0.05;3;2;0.03;0.777;0.0;0.029;0.039;0.771;0.9
45.258;2100;8;4.05;81.8;0.0;1.0;0.05;3;3;0.03;0.777;0.0;0.029;0.039;0.771;0.9
45.258;2100;8;0.55;70.3;0.05;0.95;0.05;3;2;0.027;0.78;0.01;0.017;0.018;0.74;0.85
45.258;2100;8;0.55;70.3;0.05;0.95;0.05;3;3;0.027;0.78;0.01;0.017;0.018;0.74;0.85
45.617;2100;11;0.65;109.4;0.0;1.0;0.1;4;3;0.017;0.717;0.0;0.008;0.0;0.704;0.9
