Link,Visualizações,Like,Deslikes,Comentário,Like_Comentarios,Qtd_Caracteres,Tipo,Emoji?,Sadness,Joy,Fear,Disgust,Anger,Score,Label
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Uma coisa tão simples e eu quebrando a cabeça pq tava estudando atraves de uma apostila de uma universidade federal. Parabéns cara- vc explicou bem e me ajudou bastante,19,140,Opnião,NÃO,0.1425,0.63984375,0.1425,0.1425,0.1425,0.50859375,POSITIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Affs- uma coisa tão simples de ser explicada e meu professor de uma universidade federal não consegue....Parabéns pelo seu trabalho- ótimo videoaula- simples- rápido e pratico,50,150,Opnião,NÃO,0.42,0.595,0.0,0.0,0.0,0.79,MIXED
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Muito obrigado estava quebrando a cabeça com isso kkk. Entendi melhor agora. Ótimo vídeo!!,3,77,Opnião,NÃO,0.175,0.875,0.175,0.175,0.175,0.7,MIXED
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Fantástica a sua didática. O mais legal é que você mostra o que pode dar errado também- e isso ajuda muito a gente entender o certo. Sou iniciante em programação e Python- quero me especializar como Cientista de Dados e já vi que posso contar contigo nessa minha jornada. Muuuuuuito obrigada!,3,242,Opnião,NÃO,0.0,0.91875,0.0,0.0,0.0,0.91875,POSITIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Cara- eu adorei que você errou algumas vezes- porque são os erros que nós que estamos aprendendo cometemos- de quebra você já ensina também o que pode estar errado quando esses erros são cometidos.,2,164,Opnião,NÃO,0.1455,0.515,0.1455,0.0,0.1455,0.2725,MIXED
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Estou iniciando  nesta área. E o que me chamou  a Atenção  foi PYTHON.  No momento estou estudando  através  do youtube e Udemy. Obrigado por disponibilizar  seus conhecimentos,22,143,Opnião,SIM,0.0,0.39375,0.0,0.0,0.0,0.39375,POSITIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Estou fazendo curso de python da udemy que é muito bom- mas gosto de ver outros vídeos para fixar mais ainda- e você ensina muito bem e como se estivesse debugando o código fazendo entender melhor,5,161,Opnião,NÃO,0.0,1.0,0.0,0.0,0.0,1.0,POSITIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Caramba passei um tempão tentando entender o conceito lógico- somente agora consegui- com o seu vídeo curto- simples e bem explicado- Parabéns- sucesso**3,0,132,Opnião,NÃO,0.0,0.91875,0.0,0.0,0.0,0.91875,POSITIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Muito bacana você mostrar esses erros e explicar o porquê de acontecerem- Vlw man.,1,69,Opnião,NÃO,0.4,0.4,0.2,0.2,0.0,0.0,NEUTRAL
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,"Excelente explicação..... ""dica"" ficaria interessante se fosse feito um exemplo utilizando além de número inteiro- como foi usado- usar os outros tipos primitivos - (Floot)(Bool)(Str) com o While. Parabéns pelo trabalho.",2,190,Opnião,NÃO,0.3333333333333333,0.6494444444444445,0.0,0.16666666666666666,0.0,0.6908333333333333,MIXED
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,cara você explicou bem mais facil que meu professor de faculdade haha,1,58,Opnião,NÃO,0.0,1.0,0.0,0.0,0.0,1.0,POSITIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Muito bom vídeo aula muito intuitiva sem enrrolação !!,1,46,Opnião,NÃO,0.0,1.0,0.0,0.0,0.0,1.0,POSITIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Só com a sua aula que eu consegui entender o while. Muito obrigado!,2,55,Opnião,NÃO,0.0,0.525,0.0,0.0,0.0,0.525,POSITIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Obrigada por disponibilizar esse vídeo- espero que você dê procedimento a playlist de python. =],1,82,Opnião,NÃO,0.0,0.525,0.0,0.0,0.0,0.525,POSITIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Parabéns! me salvou em 2018. rsrs..   Bacana vc mostrar os pequenos erros.,1,61,Opnião,NÃO,0.35,0.9508333333333333,0.175,0.175,0.0,0.6008333333333333,MIXED
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Você ensinamuito bem... Se dependesse de alguns professores da Udemy ficaria BEM complicado.,0,80,Opnião,NÃO,1.0,0.0,0.525,0.525,0.525,-1.0,NEGATIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Cara obrigado- consegui entender....fiz usando o for e o while para comparar...obrigado mesmo!,1,82,Opnião,NÃO,0.0,0.575,0.0,0.0,0.0,0.575,POSITIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,sua comunicação é breve- isso é muito importante- gostei e rápido.,2,56,Opnião,NÃO,0.0,0.65625,0.0,0.0,0.0,0.65625,POSITIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,ótima metodologia de ensino!!! ensinou muito bem- entendi tudo- obrigado!! +1 inscrito,1,75,Opnião,NÃO,0.0,0.7416666666666667,0.0,0.0,0.0,0.7416666666666667,POSITIVE
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.592,"1,7 mil",25,Cara- suas vídeo aulas são excelentes! Sempre tirando minhas dúvidas e me salvando. Obrigado! Continue postando.,2,97,Opnião,NÃO,0.0,0.8875,0.0,0.0,0.0,0.8875,POSITIVE
https://www.youtube.com/watch?v=YUeiAhpPMjQ,802,76,2,Além de legal achei esse conteúdo fácil. Muito útil para organizar conteúdo programável..,0,77,Opnião,NÃO,0.0,0.525,0.0,0.0,0.0,0.525,POSITIVE
https://www.youtube.com/watch?v=YUeiAhpPMjQ,802,76,2,Vou acompanhar seu canal a partir de hoje- não para de trazer por favor,0,58,Opnião,NÃO,0.0,0.2625,0.0,0.0,0.0,0.2625,POSITIVE
https://www.youtube.com/watch?v=YUeiAhpPMjQ,802,76,2,Parabéns Bruno ! Boa Aula !! Muito Obrigado !!!,0,39,Opnião,NÃO,0.0,0.9875,0.0,0.0,0.0,0.9875,POSITIVE
