Visualizacoes;Like;Deslikes;Like Comentarios;Qtd Caracteres;Codigo;Opiniao;Emoji ;Densidade semantica;Dificuldade;Tristeza;Alegria;Medo;Aversao;Raiva;Pontuacao;Resultado
37.656;1700;27;19;140;;1;;1;2;0.1425;0.63984375;0.1425;0.1425;0.1425;0.50859375;1
37.656;1700;27;19;140;;1;;2;2;0.1425;0.63984375;0.1425;0.1425;0.1425;0.50859375;1
37.656;1700;27;50;150;;1;;1;2;0.42;0.595;;;;0.79;
37.656;1700;27;50;150;;1;;2;2;0.42;0.595;;;;0.79;
37.656;1700;27;3;242;;1;;1;2;;0.91875;;;;0.91875;1
37.656;1700;27;3;242;;1;;2;2;;0.91875;;;;0.91875;1
37.656;1700;27;3;77;;1;;1;2;0.175;0.875;0.175;0.175;0.175;0.7;
37.656;1700;27;3;77;;1;;2;2;0.175;0.875;0.175;0.175;0.175;0.7;
37.656;1700;27;5;161;;1;;1;2;;1.0;;;;1.0;1
37.656;1700;27;5;161;;1;;2;2;;1.0;;;;1.0;1
37.656;1700;27;2;190;;1;;1;2;0.3333333333333333;0.6494444444444445;;0.16666666666666666;;0.6908333333333333;
37.656;1700;27;2;190;;1;;2;2;0.3333333333333333;0.6494444444444445;;0.16666666666666666;;0.6908333333333333;
37.656;1700;27;1;69;;1;;1;2;0.4;0.4;0.2;0.2;;;
37.656;1700;27;1;69;;1;;2;2;0.4;0.4;0.2;0.2;;;
37.656;1700;27;2;164;;1;;1;2;0.1455;0.515;0.1455;;0.1455;0.2725;
37.656;1700;27;2;164;;1;;2;2;0.1455;0.515;0.1455;;0.1455;0.2725;
37.656;1700;27;;132;;1;;1;2;;0.91875;;;;0.91875;1
37.656;1700;27;;132;;1;;2;2;;0.91875;;;;0.91875;1
37.656;1700;27;2;55;;1;;1;2;;0.525;;;;0.525;1
37.656;1700;27;2;55;;1;;2;2;;0.525;;;;0.525;1
37.656;1700;27;22;143;;1;1;1;2;;0.39375;;;;0.39375;1
37.656;1700;27;22;143;;1;1;2;2;;0.39375;;;;0.39375;1
37.656;1700;27;1;61;;1;;1;2;0.35;0.9508333333333333;0.175;0.175;;0.6008333333333333;
37.656;1700;27;1;61;;1;;2;2;0.35;0.9508333333333333;0.175;0.175;;0.6008333333333333;
37.656;1700;27;1;46;;1;;1;2;;1.0;;;;1.0;1
37.656;1700;27;1;46;;1;;2;2;;1.0;;;;1.0;1
37.656;1700;27;1;58;;1;;1;2;;1.0;;;;1.0;1
37.656;1700;27;1;58;;1;;2;2;;1.0;;;;1.0;1
37.656;1700;27;1;82;;1;;1;2;;0.525;;;;0.525;1
37.656;1700;27;1;82;;1;;2;2;;0.525;;;;0.525;1
37.656;1700;27;2;97;;1;;1;2;;0.8875;;;;0.8875;1
37.656;1700;27;2;97;;1;;2;2;;0.8875;;;;0.8875;1
37.656;1700;27;2;124;;1;;1;2;0.62;0.54;0.20666666666666667;0.41333333333333333;0.41333333333333333;0.46;1
37.656;1700;27;2;124;;1;;2;2;0.62;0.54;0.20666666666666667;0.41333333333333333;0.41333333333333333;0.46;1
37.656;1700;27;;80;;1;;1;2;1.0;;0.525;0.525;0.525;-1.0;-1
37.656;1700;27;;80;;1;;2;2;1.0;;0.525;0.525;0.525;-1.0;-1
37.656;1700;27;2;56;;1;;1;2;;0.65625;;;;0.65625;1
37.656;1700;27;2;56;;1;;2;2;;0.65625;;;;0.65625;1
37.656;1700;27;1;82;;1;;1;2;;0.575;;;;0.575;1
37.656;1700;27;1;82;;1;;2;2;;0.575;;;;0.575;1
37.656;1700;27;1;61;;1;;1;2;;0.65625;;;;0.65625;1
37.656;1700;27;1;61;;1;;2;2;;0.65625;;;;0.65625;1
37.656;1700;27;1;75;;1;;1;2;;0.7416666666666667;;;;0.7416666666666667;1
37.656;1700;27;1;75;;1;;2;2;;0.7416666666666667;;;;0.7416666666666667;1
37.656;1700;27;1;29;;1;;1;2;;1.0;;;;1.0;1
37.656;1700;27;1;29;;1;;2;2;;1.0;;;;1.0;1
37.656;1700;27;1;19;;1;;1;2;;1.0;;;;1.0;1
37.656;1700;27;1;19;;1;;2;2;;1.0;;;;1.0;1
37.656;1700;27;1;25;;1;;1;2;;1.0;;;;1.0;1
37.656;1700;27;1;25;;1;;2;2;;1.0;;;;1.0;1
37.656;1700;27;;27;;1;;1;2;;0.7875;;;;0.7875;1
37.656;1700;27;;27;;1;;2;2;;0.7875;;;;0.7875;1
37.656;1700;27;2;174;;1;;1;2;;0.3125;;;;0.3125;1
37.656;1700;27;2;174;;1;;2;2;;0.3125;;;;0.3125;1
37.656;1700;27;;30;;1;;1;2;;0.525;;;;0.525;1
37.656;1700;27;;30;;1;;2;2;;0.525;;;;0.525;1
37.656;1700;27;1;15;;1;;1;2;;0.7875;;;;0.7875;1
37.656;1700;27;1;15;;1;;2;2;;0.7875;;;;0.7875;1
37.656;1700;27;;29;;1;;1;2;;0.9375;;;;0.9375;1
