visualizacoes;like;deslikes;like comentarios;qtd caracteres;codigo;opiniao;emoji ;densidade semantica;dificuldade;tristeza;alegria;medo;aversao;raiva;pontuacao;resultado
38.525;1700;27;0.0;0.0;0.0;0.0;0.0;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38.525;1700;27;0.0;0.0;0.0;0.0;0.0;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
851;76;2;0.0;48.6;0.0;1.0;0.0;2;2;0.0;0.569;0.0;0.0;0.0;0.569;1.0
851;76;2;0.0;48.6;0.0;1.0;0.0;2;2;0.0;0.569;0.0;0.0;0.0;0.569;1.0
4.490;439;2;0.917;87.5;0.25;0.75;0.167;1;1;0.465;0.733;0.0;0.0;0.0;0.661;1.0
4.490;439;2;0.917;87.5;0.25;0.75;0.167;1;1;0.465;0.733;0.0;0.0;0.0;0.661;1.0
45.274;2100;8;3.9;82.9;0.0;1.0;0.05;1;1;0.303;0.777;0.0;0.58;0.773;0.771;1.0
45.274;2100;8;3.9;82.9;0.0;1.0;0.05;1;1;0.303;0.777;0.0;0.58;0.773;0.771;1.0
45.274;2100;8;0.7;69.2;0.05;0.95;0.05;1;1;0.177;0.78;0.21;0.35;0.177;0.74;1.0
45.274;2100;8;0.7;69.2;0.05;0.95;0.05;1;1;0.177;0.78;0.21;0.35;0.177;0.74;1.0
45.274;2100;8;0.353;53.412;0.059;0.941;0.059;1;1;0.263;0.657;0.0;0.459;0.547;0.497;1.0
45.274;2100;8;0.353;53.412;0.059;0.941;0.059;1;1;0.263;0.657;0.0;0.459;0.547;0.497;1.0
45.634;2100;11;0.65;123.9;0.0;1.0;0.1;2;1;0.243;0.729;0.0;0.159;0.15;0.711;1.0
45.634;2100;11;0.65;123.9;0.0;1.0;0.1;1;1;0.243;0.729;0.0;0.159;0.15;0.711;1.0
45.634;2100;11;0.25;62.4;0.2;0.8;0.0;2;1;0.169;0.87;0.168;0.0;0.168;0.855;1.0
45.634;2100;11;0.25;62.4;0.2;0.8;0.0;1;1;0.169;0.87;0.168;0.0;0.168;0.855;1.0
45.634;2100;11;0.0;34.5;0.25;0.75;0.0;2;1;0.0;0.5;0.0;0.0;0.0;0.5;1.0
45.634;2100;11;0.0;34.5;0.25;0.75;0.0;1;1;0.0;0.5;0.0;0.0;0.0;0.5;1.0
306.553;18000;37;16.7;258.85;0.15;0.85;0.0;1;1;0.471;0.611;0.15;0.0;1.0;0.539;1.0
306.553;18000;37;16.7;258.85;0.15;0.85;0.0;1;1;0.471;0.611;0.15;0.0;1.0;0.539;1.0
306.553;18000;37;0.0;91.85;0.0;1.0;0.0;1;1;0.0;0.809;0.0;0.0;0.0;0.809;1.0
306.553;18000;37;0.0;91.85;0.0;1.0;0.0;1;1;0.0;0.809;0.0;0.0;0.0;0.809;1.0
306.553;18000;37;0.55;93.1;0.0;1.0;0.0;1;1;0.7;0.765;0.0;0.0;0.0;0.728;1.0
306.553;18000;37;0.55;93.1;0.0;1.0;0.0;1;1;0.7;0.765;0.0;0.0;0.0;0.728;1.0
306.553;18000;37;0.5;73.7;0.0;1.0;0.0;1;1;0.375;0.784;0.341;0.171;0.0;0.745;1.0
306.553;18000;37;0.5;73.7;0.0;1.0;0.0;1;1;0.375;0.784;0.341;0.171;0.0;0.745;1.0
306.553;18000;37;0.2;78.4;0.05;0.95;0.0;1;1;0.424;0.848;0.247;0.247;0.0;0.825;1.0
306.553;18000;37;0.2;78.4;0.05;0.95;0.0;1;1;0.424;0.848;0.247;0.247;0.0;0.825;1.0
56.936;2100;18;3.35;107.5;0.0;1.0;0.05;2;1;0.243;0.902;0.0;0.0;0.0;0.909;1.0
56.936;2100;18;3.35;107.5;0.0;1.0;0.05;1;1;0.243;0.902;0.0;0.0;0.0;0.909;1.0
56.936;2100;18;0.9;92.5;0.05;0.95;0.05;2;1;0.231;0.735;0.231;0.263;0.231;0.707;0.882
56.936;2100;18;0.9;92.5;0.05;0.95;0.05;1;1;0.231;0.735;0.231;0.263;0.231;0.707;0.882
56.936;2100;18;0.2;60.667;0.2;0.8;0.0;2;1;0.481;0.518;0.0;0.35;0.175;0.334;0.75
56.936;2100;18;0.2;60.667;0.2;0.8;0.0;1;1;0.481;0.518;0.0;0.35;0.175;0.334;0.75
9.555;151;4;1.167;158.083;0.25;0.75;0.0;1;2;0.525;0.669;0.438;0.438;0.306;0.251;0.143
9.555;151;4;1.167;158.083;0.25;0.75;0.0;1;2;0.525;0.669;0.438;0.438;0.306;0.251;0.143
4.587;46;4;0.0;98.0;0.0;1.0;0.0;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.587;46;4;0.0;98.0;0.0;1.0;0.0;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
